Player,Position,Team,Rebounds,Assists,Steals,Blocks,Turnovers,Fantasy_Points
Donovan Mitchell,SG,CLE,0,0,0,0,0,173.7
Jaime Jaquez Jr.,SF,MIA,0,0,0,0,0,72.4
Brandin Podziemski,SG,GSW,0,0,0,0,0,105.2
Bilal Coulibaly,SF,WAS,0,0,0,0,0,70.0
Anthony Davis,C,LAL,0,0,0,0,0,185.3
Cameron Johnson,SF,BKN,0,0,0,0,0,157.2
Gradey Dick,SG,TOR,0,0,0,0,0,171.0
Jalen Green,SG,HOU,0,0,0,0,0,113.3
Taylor Hendricks,PF,UTA,0,0,0,0,0,11.1
Kevin Durant,PF,PHO,0,0,0,0,0,139.4
Patrick Williams,PF,CHI,0,0,0,0,0,13.7
Kyle Lowry,PG,PHL,0,0,0,0,0,43.2
Jordan Poole,SG,WAS,0,0,0,0,0,135.8
Darius Garland,PG,CLE,0,0,0,0,0,174.3
Jusuf Nurkic,C,PHO,0,0,0,0,0,42.9
De'Aaron Fox,PG,SAC,0,0,0,0,0,186.8
Scottie Barnes,SF,TOR,0,0,0,0,0,65.9
Tim Hardaway Jr.,SG,DET,0,0,0,0,0,90.2
Bennedict Mathurin,SF,IND,0,0,0,0,0,92.3
Gary Payton II,SG,GSW,0,0,0,0,0,16.4
Nick Richards,C,CHA,0,0,0,0,0,75.4
Marcus Smart,SG,MEM,0,0,0,0,0,23.5
Rudy Gobert,C,MIN,0,0,0,0,0,80.0
Chris Boucher,PF,TOR,0,0,0,0,0,62.2
Rui Hachimura,PF,LAL,0,0,0,0,0,19.3
Anfernee Simons,SG,POR,0,0,0,0,0,101.1
Caris LeVert,SG,CLE,0,0,0,0,0,111.0
Deandre Ayton,C,POR,0,0,0,0,0,121.9
Ivica Zubac,C,LAC,0,0,0,0,0,168.8
Collin Sexton,SG,UTA,0,0,0,0,0,111.1
Zach LaVine,SG,CHI,0,0,0,0,0,35.4
Shai Gilgeous-Alexander,PG,OKC,0,0,0,0,0,172.6
Ochai Agbaji,SF,TOR,0,0,0,0,0,144.5
Aaron Wiggins,SG,OKC,0,0,0,0,0,69.8
Evan Mobley,PF,CLE,0,0,0,0,0,182.3
Dalano Banton,PG,POR,0,0,0,0,0,59.1
Jimmy Butler,SF,MIA,0,0,0,0,0,82.5
Ben Simmons,PG,BKN,0,0,0,0,0,30.2
Brandon Boston,SG,NOP,0,0,0,0,0,81.6
Onyeka Okongwu,C,ATL,0,0,0,0,0,57.2
Davion Mitchell,PG,TOR,0,0,0,0,0,70.7
Keldon Johnson,SF,SAS,0,0,0,0,0,122.8
Cason Wallace,SG,OKC,0,0,0,0,0,25.7
Julius Randle,PF,MIN,0,0,0,0,0,147.2
Jalen Brunson,PG,NYK,0,0,0,0,0,177.8
LeBron James,SF,LAL,0,0,0,0,0,259.9
LaMelo Ball,PG,CHA,0,0,0,0,0,201.8
Nickeil Alexander-Walker,SG,MIN,0,0,0,0,0,39.3
Brook Lopez,C,MIL,0,0,0,0,0,90.0
Pascal Siakam,PF,IND,0,0,0,0,0,157.4
Derrick White,SG,BOS,0,0,0,0,0,180.2
Caleb Martin,SG,PHL,0,0,0,0,0,28.5
Daniel Gafford,C,DAL,0,0,0,0,0,128.5
